number,values_0,values_1,datetime_start,datetime_complete,duration,params_cluster_selection_epsilon,params_min_cluster_size,params_min_dist,params_min_samples,params_n_components,params_n_neighbors,user_attrs_ccc_score,user_attrs_dbcv_score,user_attrs_n_clusters,user_attrs_outlier_ratio,system_attrs_NSGAIISampler:generation,state
100,0.9366249027571225,0.30214152049958665,2025-12-22 19:50:44.198688,2025-12-22 19:50:53.972613,0 days 00:00:09.773925,0.15,50,0.14,5,8,14,0.9366249027571225,0.30214152049958665,3,0.07860696517412935,2,COMPLETE
101,0.3797595501538694,0.6177347315244276,2025-12-22 19:50:53.974622,2025-12-22 19:51:04.209489,0 days 00:00:10.234867,0.1,4,0.1,11,4,31,0.3797595501538694,0.6177347315244276,63,0.3253731343283582,2,COMPLETE
102,0.49705265176602664,0.5813385996805979,2025-12-22 19:51:04.211372,2025-12-22 19:51:12.950796,0 days 00:00:08.739424,0.1,18,0.19,20,15,3,0.49705265176602664,0.5813385996805979,20,0.2527363184079602,2,COMPLETE
103,0.4229261991466323,0.54829063310915,2025-12-22 19:51:12.952510,2025-12-22 19:51:24.613497,0 days 00:00:11.660987,0.06,9,0.13,12,13,48,0.4229261991466323,0.54829063310915,46,0.4253731343283582,2,COMPLETE
104,0.5279031217743726,0.6205696144282506,2025-12-22 19:51:24.615516,2025-12-22 19:51:34.472507,0 days 00:00:09.856991,0.2,5,0.0,19,4,28,0.5279031217743726,0.6205696144282506,34,0.3328358208955224,2,COMPLETE
105,0.6514189596713362,0.44693018163651443,2025-12-22 19:51:34.474337,2025-12-22 19:51:45.533449,0 days 00:00:11.059112,0.2,39,0.11,19,12,42,0.6514189596713362,0.44693018163651443,11,0.45422885572139304,2,COMPLETE
106,0.23641870644347127,0.6170964534518034,2025-12-22 19:51:45.535321,2025-12-22 19:51:56.823152,0 days 00:00:11.287831,0.1,2,0.14,5,8,28,0.23641870644347127,0.6170964534518034,135,0.2054726368159204,2,COMPLETE
107,0.7596946770213364,0.39801102902025287,2025-12-22 19:51:56.824686,2025-12-22 19:52:07.041051,0 days 00:00:10.216365,0.04,40,0.11,8,10,23,0.7596946770213364,0.39801102902025287,11,0.2044776119402985,2,COMPLETE
108,0.7083232623783128,0.3982317213042341,2025-12-22 19:52:07.042790,2025-12-22 19:52:17.294369,0 days 00:00:10.251579,0.26,23,0.18,19,5,41,0.7083232623783128,0.3982317213042341,18,0.45223880597014926,2,COMPLETE
109,0.0,0.26495064542931285,2025-12-22 19:52:17.296002,2025-12-22 19:52:28.742943,0 days 00:00:11.446941,0.01,40,0.22,10,11,48,0.0,0.26495064542931285,2,0.025373134328358207,2,COMPLETE
110,0.6127172809954027,0.4920053094651522,2025-12-22 19:52:28.744812,2025-12-22 19:52:39.170503,0 days 00:00:10.425691,0.04,27,0.15,14,8,37,0.6127172809954027,0.4920053094651522,18,0.3701492537313433,2,COMPLETE
111,0.552952392885106,0.40878013788068635,2025-12-22 19:52:39.172304,2025-12-22 19:52:49.746658,0 days 00:00:10.574354,0.24,24,0.03,9,11,23,0.552952392885106,0.40878013788068635,27,0.18407960199004975,2,COMPLETE
